#id	Meaning	bara1273	cuma1241	nort2686	oldu1238	sout2694	nort2697	bash1264	chuv1255	crim1257	dolg1241	gaga1249	kara1467	kara1465	kara1464	kaza1248	khak1248	khal1270	kirg1245	kumy1244	tuta1234	noga1249	sala1264	west2402	shor1247	kaza1250	tofa1248	nucl1301	turk1304	tuvi1240	uigh1240	uzbe1247	yaku1245	halh1238	buri1258	kalm1244	kalm1243	kham1281	daur1238	east2337	baoa1237	dong1285	minh1238	huzh1238	kang1281	mogh1245	midd1351	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238	hwan1238	hamg1238	hamg1239	jeju1234	chol1278	kyon1247	chun1247	seou1239	midd1372	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
	long																																																																			kil	kil	kil	cincinhe	cil	cil	cil	kil	kil															
	long																																															onimu	ŋoːńimi	wanimi	ŋoneme	ormị	ormị	ŋonimi	walme	golmi	golmin	ɢolmin	ŋọnam	nụnam	nonimi	ŋoːnim	ŋonim	ŋoːńim	ňonim	ŋonom	ŋụnụm																								
	long	uzïn	uxun	uzun	uzun	uzun	uzun	oδon	vəʷrəʷm	uzun	uhun	uzun	uzïn	uzun	uzun	ŭzïn	uzun	uzu:n	uzun	uzun	uzun	uzïn	uzun	uzun	uzun	ozïn	uzun	uzun	uzïn	uzun	uzun	uzun	uhun	urt	urta	ut	uta	urtu	ortə	rdə	ʂdər	fudu	shuduer	ʂdur	ʃdu	urtu	urtu																																												
	blow (v.)																																																																												huk	puk	hukuri	hukjuɴ	pukjuɴ	pucuɴ	hucuɴ	ffu	ɸukuɴ	hukuɴ	kkùn	fuɂ	fu̥ku	fu̥ku	fukowa
	blow (v.)																																																																								il																		
	blow (v.)																																	üle:	ülye:	üle	ülə:	üleje	u:le:	piile	ħilə	фулiэ	huili	piila	fəli							fulgị	fulgiči			fulə	fulgijə	filxi																																	
	blow (v.)																																															ədinə	ədin	ədinə	hədun	ədinə	hədun	hədun	hədun		ədu	udunda	edel	ədin	ədin	ədyn				ədin	ədin																								
	blow (v.)	ĕs					äs	iθ		es		es	es					häs		?eš		es				is		es	ös		äs	es																																																											
	blow (v.)				ür	ür		ör	vɘʷr		ür		ürle	ür	ir	ürle	ür				ür	ür				ör	ür			ür			ür																huː		puː			puː	puː				huː	uːgu	huːwu	huw	hup	huːp	huvû			pwun	pwun	pwu	pwun	pwun		pwun	pwun	pwul															
	blow (v.)						üfür			üfür		üfle	üple				übür			üfür			fur		übür			üfle	üfle																																																														
	blow (v.)		soḳ			soḳ										soḳ			soḳ																																																																								
	blow (v.)																	pu						pute							püdä	pufla																																																											
	blow (v.)																		üylö																																																																								
	blow (v.)																													χadï																																																													
	blow (v.)			kir																																																																																							
	blow (v.)	yĕlbän			yeltir																																																																																						
	wood (n.)																																																																												ki	kwi	xï	kɨɨ	sii	kii	kii	kii	kii	kii	khìi	ki	ki	ki	ki
	wood (n.)																																																																						cisum																				
	wood (n.)																																																																			swuphwul	swuphwul	swuphwul		swuph	swuph	swuph	swuphwul	swuph															
	wood (n.)																																	mod	modon	modn	modon	modon	mo:d	muudən	mɵtɵŋ	mutun	motu	muudi	murtun	modun	modun	mo	moː	moː	moː	moː	moː	moː	moː	mo	moː	mo	mọː	mͻ	moː	moː	mo	moː	mo	moː	mɔː																								
	wood (n.)	aɣač	agač	aɣaš	ïɣač	aɣaš	aɣač	aɣas	yïvəś	aɣač	mas	aač	aɣaš	aɣač	aɣac	aɣaš	aɣas	haɣač	ǰïɣač	aɣač	aač	aɣaš	aɣač	yïɣaš	aɣaš	aɣač	neš		aɣač	ïyaš	yaɣač	yɔɣɔč	mas																																																										
	wood (n.)																											odun																																																															
	run (v.)																																																																																						aitarasikhirun				
	run (v.)																																																																												hasiru	pasir	hasiruri	hasɨjuɴ	cjaajuɴ	paɴ	hajuɴ	piï		paccaasuɴ		haɕiʔ	haɕiʔ	haɕiru	haɕiru
	run (v.)																																																																																			dumifu							
	run (v.)																																																																																				kakicïki	kakiccaasuɴ					
	run (v.)																																															bugda				fagdala	faːgdala																																						
	run (v.)																																																tutu		tutu				tutu				tut	tutəli								talumpakcilha	talumpakcilha	talumpakcilha	telumpakcilha	tampakcilha	tallamcilha	talumpakcilha	ttwimpakcilha	tot															
	run (v.)																																																	tukä				tuksa							tuksa	tuksa	tuksaːn	tuhsa	tuksa	toksa	tụkša																								
	run (v.)																																																								suʤu																																		
	run (v.)																																																									fəxsi																																	
	run (v.)																																	güy	güy	gü:	gü:	güy	guy				gui	guai	gui	gʉi:	guiyi																																												
	run (v.)																																							ʃgur	xolə	xolu			hɔr																																														
	run (v.)								čup	čap				čap	?čap					čap		šap									čap	čɔp																																																											
	run (v.)	yögir	yugur	t́ügür	yügür	dügür		yüger			hüür		žuwïr		yuvur	žügĭr	čügür	yi:ir	ǰügür		čügür	yuwïr	žükür		čügür	yöger					žügrä		sü:r												zɯkərebor																																														
	run (v.)						ġač					kač																																																																															
	run (v.)																							ḳayla																																																																			
	run (v.)																										sun																																																																
	run (v.)																												ïlɣa																																																														
	run (v.)																											koš																																																															
	run (v.)																													maŋna																																																													
	fall (v.)																																																																												oti	oti	ɂuθïruri	haɴtɨjuɴ	utjuɴ	huτiruɴ	ɂutijuɴ	utiï	uti	ut	ùtirun	otsuʔ	otɕiru	otsuru	oteru
	fall (v.)																																																																			tteleci	tteleci	tteleci	theleci	tteleci		tteleci	tteleci	tteleti															
	fall (v.)																																																																								nelcci																		
	fall (v.)																																																													buru	buru	buru	buru																										
	fall (v.)																																															duəhən	tiː	tiŋmə	tuː	tiki	tuː	tuː	tuː	tuhə	tuhə	tuxu	tik	tihi	tikki	tyk				tik	tiki																								
	fall (v.)																																															isala	isa	jä	nasal	esal	ịsala	isal	esal	jasa	jasa	jas	iasál	iːšal	iːsal	əːsa	eːha	eːha		eːsa	jeːša																								
	fall (v.)																																	una	una	un	una	una	wana	na	na	una	wuna	naa	una	uno:	una																																												
	fall (v.)																																			kiis	ki:s																																																						
	fall (v.)	yïɣal						yïɣïl		yïḳïl			žïɣïl	?ǰïɣïl	yïɣïl	?žïɣïl			ǰïɣïl	yïɣïl		yïɣïl	yïχïl		čïɣïl	yïɣïl			yïḳïl		žiḳil	yiḳil																																																											
	fall (v.)	tüš	tuz	tüš	tüš	tüš	düš				tüs	düš		tüš	čüš	?tüs	tüs	tiš	?tüš				ǰüǰ				tüˁš	düš		düš	čüš		tüs																																																										
	fall (v.)								ük																																																																																		
	fall (v.)																aŋdarïl				aŋnal																																																																						
	fall (v.)																							toḳ								tọkil																																																											
	fall (v.)															?ḳula							?šaŋkula																																																																				
	eye (n.)																																																																												me	me	mï	mɨɨ	mii	mii	mii	mii	mii	mii	mìi	me	me	me	manako
	eye (n.)																																																																			nwukkal	nwukkal	nwun	nwun	nwunkkal	nwunkkali	nwunkkal	nwuthkwal	nwun															
	eye (n.)																																	nüd	nüden	nüdn	nüden	nidün	nid	nudun	nɵdɵŋ	udun	nudu	nudi	nudu	nʉdʉn	nidun	isala	isa	jä	nasal	esal	ịsala	isal	esal	jasa	jasa	jas	iasál	iːšal	iːsal	əːsa	eːha	eːha	èsa	eːsa	jeːša																								
	eye (n.)	köz	köz	kös	köz	kös	köz	küδ	kuś	köz		göz	köz	köz	köz	köz		köz	köz	göz		köz	koz	küz		küz		göz	göz		köz	kọz																																																											
	eye (n.)										karak						χaraχ				ḳaraḳ				ḳaraḳ		ḳaraḳ			ḳaraḳ			χaraχ																																																										
	ash (n.)																																																																												hai	papi	hwe	ɂakuu	pai	pee	hwee		pai	pai	hígun	heː	hjaː	hai	heː
	ash (n.)																																																																			cay	cay	cay	pwulchi	cay	cay	cay	cay	coy															
	ash (n.)																																															fuləbtə	huləptə	huləptə	puńəktən	fuńəktə	huləftə	punəktə	punəqtə	fuləŋgi	fuləŋgi	filiŋ	hulten	uləttəŋ	huləptəːn	uləːptyn	huloptɒn	huloptaːn	huluptèn	hulọːptọːn	uləptən																								
	ash (n.)																																	üns	ünehen	ümsn	ünesen	ünehü:n	unsə	henesən	ħɵmsu	funiəsun	hunisi	funiisi		εnasun	xunesu																																												
	ash (n.)																																								ta:rɵg			taxja	tartʃɔ																																														
	ash (n.)			kül	kül	kül	kül	köl	kɘʷl	kül	kül	kül	kül	kül	kül	kül	kül	kil	kül	kül	kul	kül	kul	kul	kül	köl	hül	kül	kül	χül	kül	kul	kül																																																										
	tail (n.)																																																																													wo							buu						oppa
	tail (n.)																																																																												sippo		zubu	zjuu	duu	zuu	zuu	zïï	zuu	zuu	dunpani	ɕiːbo	ɕirbo	ɕippo	
	tail (n.)																																																																			kkongci	kkongci	kkongci	kkollayngi	kkolangci	kkolangtengki	kkoli	kkongci	skwoli															
	tail (n.)																																															jilgi	huggu	igi	hujgu	idjgi	huigu	hudu	huʤu	unčə	unčəhən	unčxin	irge	iggi	irgi	irgi	irgiː	irgi	irgin	iggi	irgi																								
	tail (n.)																																	sü:l	hü:l	sül	sü:l	ho:l	soulə	syyl	ɕiənʨix	ɕiən	xier	suul	sar˳	söʉl	seul																																												
	tail (n.)	ḳuyrïḳ	cuyrug	ḳuyruḳ	ḳudruḳ	ḳuyruḳ	ġuyruġ	ḳoyroḳ	χüre	ḳuyruḳ	kuturuk	kuyruk	ḳuyrïḳ	ḳuyruḳ	kuyruk	ḳŭyrïḳ	χuzuruχ	ḳurduḳ	ḳuyruḳ	ḳuyruḳ	ḳuzuruḳ	ḳuyrïḳ	ḳuruχ	ḳuz	ḳuzuruḳ	ḳoyrïḳ	ḳuduruḳ	kuyruk	ġuyruḳ	ḳuduruḳ	ḳuyruḳ		kuturuk																																																										
	tail (n.)																															dum																																																											
	dog (n.)																																																																			kay	kai	kai	kay	kay	kkangsayi	kaaci	kahi	kahi															
	dog (n.)																																															inaki	inaki	inˀai	enda	enakịn	ịnda	ŋinda	enda	indahu	indahuːn	jonhun	ŋin	ninihiŋ	ninakin	ninakin	ŋinakin		ňinakin	nenahin	ŋanaken										inu	inu	ɂiɴ	ɂiɴ	inu	ɂiɴnuκwaa	ɂiɴ	in	iɴ	iɴ	ìnu	in	in	in	inume
	dog (n.)																																	noxoy	noxoy	noxa	noxa:	nokoy	nogə	noxgui	nɵgəi	noɣəi	nughuai	noxuai	nuʁuai	noqɛi	noqay																																												
	dog (n.)	it	it	iyt	ït	i	it	et	yïdə		ït		iyt	it	it	it		it	it	it		iyt	išt	ïšt		et			it	ït	išt	it	ït																																																										
	dog (n.)																aday				aday				aday																																																																		
	dog (n.)									köpek		köpek																köpek																																																															
	dog (n.)																										čïdïɣ																																																																
	cry / weep (v.)																																																																												nak	nak	naxjuri	nakjuɴ	nakjuɴ	nacuɴ	nacuɴ	nafu	nakuɴ	nakuɴ	nágun	naɂ	naku	naku	naku
	cry / weep (v.)																																																																			wul	wul	wul	wul	wul		wul	wul	wul															
	cry / weep (v.)																																																																								cca																		
	cry / weep (v.)																																															soŋu	soŋo	soŋo	soŋo	soŋo	soŋgo	soŋo	soŋgo	suŋgu	soŋgo	soŋu	họŋ	šͻŋͻ	soŋo	soŋo	hoŋo	hoŋoː	soňo	soŋo	šɔŋɔ																								
	cry / weep (v.)																																	uyl	uila	u:l	u:l	uyala	waila	yyla	la:	uila	yila	ulaa	ila	ui:la	uiyila																																												
	cry / weep (v.)																																																																																										
	cry / weep (v.)			ï:la	ïɣla	ïyla		ila					žïla	ǰïla	yïla	žïla	ïlɣa	hïɣla	ïyla	yïla		yïla	yïɣla	yïɣla	ïlɣa	yïla	ïɣla			ïɣla	žiɣlä	yiɣla																																																											
	cry / weep (v.)	sïḳta		sïḳta							ïta:										səḳta				sïḳta								ïta:																																																										
	cry / weep (v.)						aɣla			aɣla		a:la																aɣla	aɣla																																																														
	cry / weep (v.)								magər																																																																																		
	tie (v.)																																																																												musub	musub	musuburi		musubjuɴ	musuubiɴ	musubuɴ	sïmaï	musubuɴ	musubuɴ	dún	musuʔ	musubu	musubu	musubu
	tie (v.)																																																																									eng	eng																
	tie (v.)																																																																			may	may	may	cellamay	ccammay	ccimmay			moy															
	tie (v.)																																															hərkə		həkə																																									
	tie (v.)																																																													hərkə		hèrkè		həjgi																									
	tie (v.)																																																uju		ui			ui	uj				uj	uji	uju		uji	ujiː		uj																									
	tie (v.)																																																			seračị	sịračị																																						
	tie (v.)																																																								fali																																		
	tie (v.)																																																									toŋqu																																	
	tie (v.)																																																										oːńe																																
	tie (v.)																																																											akki							akke																								
	tie (v.)																																	ʒalga		zalg	zalha			dʒangad	dʐaŋxəldə	ʥanga		dʑaŋgədə			jalqa																																												
	tie (v.)																																	xüle	xüli		küle	küli					xulo	xulo:		kʉli																																													
	tie (v.)																																		xolbo	xolv	xolvo	xolbo																																										kuijuɴ											
	tie (v.)																																			uy	uya	uya	xuja	hia		fəija	huya	fuja:	fuja																																														
	tie (v.)																																						boki		bogelde														boke																																				
	tie (v.)	pawla		poɣ	ba	bula	baɣla	bäylä		baɣla	ba:y	ba:la	bayla	bayla	bavla	bayla	palɣa	va:a	bayla	bayla	paɣla	bayla	paɣla	poɣ	paɣla	bäylä	baɣla	baɣla	baɣla	baɣla	baɣla	bɔɣla	ba:y																																																										
	tie (v.)								śïχ																																																																																		
	tie (v.)																		taŋ										daŋ																																																														
	see (v.)																																																																												mi	mi	mju	njuɴ	mjuɴ	mjuɴ	ɴɴzuɴ	miiï	mii	miruɴ	nnarirun	miɂ	miru	miru	miru
	see (v.)																																																																			po	po	po	po	po	po	po	po	pwo															
	see (v.)																																															iči	ičə	isə	ičə	ičə	iskə	itə	ičə				ič	iši	icə	ičə	isə	iśə	isè	ičə	iči																								
	see (v.)																																																							ača																																			
	see (v.)																																																								sabu	savə																																	
	see (v.)																																	xar	xara		xara	xara																																																					
	see (v.)																																			üz	üze	üʒe­	uʒi­	edʒe	nʥɛ	udʐə	uʥɛ		uʤe	ʉǰȧ	uje																																												
	see (v.)																																				xələ:							rje																																															
	see (v.)																																										qige	sge	ʧigi																																														
	see (v.)	kör	chor	kör	kör	kör	ǵör	kür	kur	kör	kör	gör	kör	kör	kör	kör	kör	ker	kör	gör	kor	kör	kör	kör	kör	kür	kör	gör	gör	kör	kör	kọr	kör																																																										
	sweet																																																																												amai	amasi	ɂamasari		amasaɴ	ɂamaaseɴ	ɂamasaɴ	azïmaham	azïmasaaɴ	azimaaɴ	áman	ame	amaka	amaka	amakja
	sweet																																																																															jotokjoroohaɴ											
	sweet																																																																																										
	sweet																																																	ʤi																																									
	sweet																																																	satamuj																																									
	sweet																																																					dəʤʤuːli																																					
	sweet																																																							nəi																																			
	sweet																																																							danču	ʤančuhuːn		dalra									tal	tal	tal	tel	taltalha	taltalha	tal	tal	tol															
	sweet																																	amttay	amtatai	əmtəxn	əmtə:xen	amtatay		amdatə	amtətə			ndatɘn			amtatai	amtdəkuli	amtasi		amtaseː	amtasị	amtaŋga	aptauli	amta			amtəŋ		antaši		alapču		alapʧu	aləpʰt͡ʃu	alagdidale	ʤụteː																								
	sweet																																												ʧiangi																																														
	sweet	tatlï	tatli	taattu	tatïɣlïɣ	tatu		tatlï		tatlï		tatlï		tatlï	tatlï	tättĭ	tadïlïɣ		tattuu	tatli	ta:dləɣ	tätli	tälli	tat		tatlï	tadïɣlïɣ	tatlï																																																															
	sweet										minńiges																						minńiges																																																										
	sweet								pïlak																																																																																		
	sweet																												?süyǰi																																																														
	sweet																								ta:mnïɣ																																																																		
	sweet						širin						šiyrin					širin											širin		širin	širin																																																											
	sweet																													čigirzig																																																													
	rope (n.)																																																																												nawa	napa										nawa	nawa	nawa	noː
	rope (n.)																																																																														cïna	cɨnaa	cina	cinaa	cina	cïna	cïna	sina	nnà	tsuna	tsuna	tsuna	tsuna
	rope (n.)																																																																											cwul															
	rope (n.)																																																																			saykki	saykki	saykki	sokki	saykki	saykki	saykki	saykki																
	rope (n.)																																																																uûr																										
	rope (n.)																																															horkuŋ				hotkon	horko	horko	horko					ụkkụŋ							ụrkụn																								
	rope (n.)																																																sụmna																																										
	rope (n.)																																																ugdə																																										
	rope (n.)																																																	hu																																									
	rope (n.)																																																		topto																																								
	rope (n.)																																																							futa	futa	fəta																																	
	rope (n.)																																																										usi	ušiːləŋ			uhiː	uhiː		usiː																									
	rope (n.)																																																											iːdur																															
	rope (n.)																																																												bogoli																														
	rope (n.)																																																													hərkəwuːn		hərkə																											
	rope (n.)																																	dees	de:hen	de:sn	de:sen	de:sün	de:s	diisən	desuŋ	ʥiəsun	desə	deesə	deisun	deisun	?																																												
	rope (n.)																																	agramǰ	agramža																																																								
	rope (n.)			paɣ		bu:		baw	pəyav		bïa		baw			baw	paɣ				paɣ	baw		paɣ	paɣ	baw	baɣ						bïa																																																										
	rope (n.)							arḳan		arḳan			arḳan			arḳan				arḳan		arḳan										arḳɔn																																																											
	rope (n.)	yip					ip			yip			žip		yip	žĭp			ǰip					kemǰeryep				ip	yüp																																																														
	rope (n.)						kändir		kandra																					χendir																																																													
	rope (n.)				uruḳ																		ur	uruḳ				urgan																																																															
	rope (n.)																		kötörmö																																																																								
	rope (n.)											čatï																																																																															
	rope (n.)		örken						vɘʷren						örken																																																																												
	rope (n.)																	ta																																																																									
	rope (n.)																	marasbor																																																																									
	rope (n.)																arɣamǰïbor													arɣamčïbor	aɣamčabor																																																												
	shade (n.)																																																																			kunul	kunuci	kunul	kunul	kunul	kunul	kunul	kunul	konol	kage	kage	xage	kaagɨ	hagi	hagi	kaagaa	kaagi	kagi	kai	khâŋi	kage	kage	kage	kage
	shade (n.)																																															hańiən	hańa	hańa	pańan	hańan	fańa	pana	pańa				hińaːn			hańan	haŋńan	haŋńan	hanûn																										
	shade (n.)																																																					əʤi																																					
	shade (n.)																																																											šiŋuŋ	simŋuːn					simŋun																									
	shade (n.)																																																																		ərudən																								
	shade (n.)																																							køløhgyybor																																																			
	shade (n.)																																									ɕiaoʥiəbor																																																	
	shade (n.)																																											srinbor																																															
	shade (n.)																																	sü:der	hü:der	sü:dr	sü:der	sü:der	suidur		si:tər		xiudier		sutər																																														
	shade (n.)		coläge	kölötköetc	kölige	kölötki	kölkä	külägä		kolge	külük	gölgä	köleŋke	kölekke	kölege	köleŋke	kölek		kölökö	gölentgi	ke:lɘg	köletki		külehkemal	kölek	külägä	hölege	gölge	kölege	χölege	köläŋkä		külük																							həlmə	həlmən	xəlmən																		kulumey															
	shade (n.)								ɘmɘlge																																																																																		
	shade (n.)																	så:yäbor											sayabor		sayäbor	sɔyabor																																																											
	bird (n.)																																																																												tori	tori	θuri	tui	tui	tui	tui	tuï	turï	turu		toi	tori	tori	torime
	bird (n.)																																																																																						hâtu				
	bird (n.)																																																																			say	say	say	sayngi	say	say	say	say	say															
	bird (n.)																																															gaskə	gasa					gasa			gasha																																		
	bird (n.)																																																	cindˀa					čiːndə																																				
	bird (n.)																																																		niəčəːn		ńicə	nəːčikə																																					
	bird (n.)																																																			čeokon																																							
	bird (n.)																																																							səčə		čičkə																																	
	bird (n.)																																	šuvu:	šubu:n	šuvun	šovu:n	siwan		ʃuun			shibao	xuu																			čipkaːnbor	śipkaːkaːnbor																											
	bird (n.)																																						degibor																				degi	dəgi	dəgiː	dəg			dègi	dəgiː	dəji																								
	bird (n.)																																								bandʒir	bunʥu																																																	
	bird (n.)																																												niaobor																																														
	bird (n.)	ḳuš	kus	ḳuš	ḳuš	ḳuš	ġuš	ḳoš		ḳuš		kuš	ḳus		kuš	ḳŭs	χus		??ḳuš	ḳuš	ḳus	ḳus	ḳuš	ḳus	ḳuš	ḳoš	ḳuˁšḳaš	kuš	ġuš	ḳuš	ḳuš	ḳuš																																																											
	bird (n.)										kötör																						kötör																																																										
	bird (n.)													ḳanatlï					ḳanattu:																																																																								
	bird (n.)								kayək																																																																																		
	bird (n.)																	pärändäbor																																																																									
	salt (n.)																																																																												sio	sipo										ɕio	ɕio	ɕiwo	ɕio
	salt (n.)																																																																														masju	maasju	masju	masu	maasju	maasï	maasu	maasu	mâsu				
	salt (n.)																																																																			sokom	sokom	sokom	sokum	sokum	sokum	sokum	sokum	swokwom															
	salt (n.)																																																										tak																																
	salt (n.)																																																	sˀai																																									
	salt (n.)																																	davs	dabhan	davsn	davsan	davhu		daabsən	dabsuŋ	dansun	dabsi	dabsə		dabsan		dausən	daksụ		daosonbor	daosụnbor	daoso	dausu	dawson	dacubor	dabsunbor	davsunbor		dͻːsụŋbor	dawsunbor																														
	salt (n.)																																						hata:																												kataganbor																								
	salt (n.)																																												iʃi																																														
	salt (n.)		tus	tus	tuz	tus	duz	toδ	təʷvar	tuz	tü:s	tuz	duz	tuz	tuz	tŭz	tus	tu	tuz	tuz	tus	tuz	duz	tuz	tus	toz	tus	tuz	duz	dus	tuz	tuz	tu:s																													turukə	turukə	turukə	turukè	tosbor																									
	small																																																																																										nekkokja
	small																																																																												tiisai	tipisasi													
	small																																																																														ɂjenasari		iɴsaɴ			imikam							
	small																																																																															gunjaahaɴ		gumaaseɴ	gumasaɴ		gumasaaɴ	gumaaɴ	gûman	kome	komanka	komaka	nekkokja
	small																																																																			cak	cak	cak	cok	cek	cak	cek	cak																
	small																																																ŋiːči	ŋicˀa	nuːči			nuːči	ńuːči					nišhuŋ	niːči					ńitkuːn	ničukun																								
	small																																															komču											kočuken																																
	small																																																			niskun	iski																																						
	small																																																							aš	aʤida	aʤig																		achon															
	small																																																													hujukuːn	hujukuːn	hulukuːn	xulukun																										
	small																																						učiken		ʂʥigaŋ				ʃgɔ		ucugan																																												
	small								pɘǰɘkbor									bäččäbor						mičäbor			bičebor			biče				bacxan	bišïxan	bičkn	bičken	biči:xan		hdaj	bədi																																																		
	small																							baɣabor										baga				baga		baʁa																																																			
	small																																	ǰiǰig	žeže		ǰiǰig	ǯiǯi																																																					
	small																																				ǰa:xan	ʒa:xan			ʥigaŋ																																																		
	small																																											u:bor																																															
	small																																									gabor																																																	
	small																																									miɛla	mulabor	mulabor																																															
	small	kičü	kyče	kiǰigkiči	kičig	kiči	kičik				küččügüy	küčüǰük	kiškene	gitče	kiči	kĭškene	kɘčiǰek		kičine	gičči	kɘčeeč	kiškey	kiči	kičig	kičig	kečkenä		küčük	kiči		kičik	kičkina	?kuččuguy																																																										
	small							bäläkäy																																																																																			
	small									ufačïḳ																		ufak																																																															
	wide																																																																												hiro	piro										hire	hiroka	hiroka	hirokja
	wide																																																																														hwïssari		upisjaɴ			upukam							
	wide																																																																															hutëëhaɴ											
	wide																																																																																	magiseɴ	magisaɴ		maisjaaɴ	maijaɴ	maisan				
	wide																																																																			nelp	nelp	nelp	nep	nelwup	nelu	nelcikhe	nelp	nelu															
	wide																																															darmi	daːmi		darami	daramị	daramị	darami	darame																																				
	wide																																																	agbi									kalbin			albin		albiːn	albin																										
	wide																																																						gole																																				
	wide																																																						hugdi																																				
	wide																																																							onco	ončo	ončo																																	
	wide																																																											əŋŋə							əŋŋəl																								
	wide																																																																	awam																									
	wide																																	örgön	ürgen	örgn	örgen	ürgün						rgon																																															
	wide																																				u:		au		u	aɣui		wuudi	u	ɔğui	aui																																												
	wide																																					u:ǯim		uudʒəmbor																																																			
	wide																																										kuanzhanbor	kuanzhanbor																																															
	wide	käŋ		keŋ	keŋ	keŋ	geniš	kiŋ		keŋ		geniš	keŋ	keŋ	ken	keŋ		ki:eŋ	keŋ	geŋ		keŋ		keŋ		kiŋ		geniš	giŋ		käŋ	keŋ	kieŋ																																																										
	wide	yalbïrsaḳ				dalbaχ											čalbaχ				čalβaḳ				čalbaḳ																																																																		
	wide										ketit																																																																																
	wide								sarlaga																																																																																		
	wide																allïɣ										aˁlhïɣ																																																																
	wide																													delgem																																																													
	star (n.)																																																																			pyel	pyel	pyel	pil	peyl	pil	pil	pyel	pyel	hosi	posi	husi	husɨɨ	pusi	pusii	husi	pusï	pusu	pusi	húci	hoɕ	hoɕi̥	hoɕi	hoɕi
	star (n.)																																															učiaktə	hosikta	wajkta	hosakta	osịakta	osịkta	hosikta	hosta	ušiha	usiha	usha	ọːsikat	ͻːšitt	oːsikta	oːsiːkta	ohikta	ohikaːktə	osikta	oːsikta	ɔːšekta																								
	star (n.)																																																					unigəri																																					
	star (n.)																																	od	odon	odn	odon	odon	odə	hodən	ħɵ:taŋ	xodun	xotu	foodə	futɔ		hodun																																												
	star (n.)																																													sεtɔra																																													
	star (n.)		juldus	yïldïs	yultuz	dïldïs	ulduz	yondoδ	śəʷldəʷr	yïldïz	hulus	yïldïz	žuldïz	ǰulduz	yulduz	žŭldïz	čïltïs	yulduz	ǰïldïz	yulduz	čəltəs	yuldïz	yultus	yultïs	čïltïs	yoldïz	sïltïs	yïldïz	yïldïz	sïldïs	yultuz	yulduz	sulus																																																										
	in																																																																												naka	naka	naha	naa	nunaa	?	naaka	naha	naka	naka	naga	naka	naka	naka	naka
	in																																																																						sokop	sokan	sok	sokan																	
	in																																																																			an	an	an		sokan		sokan	an	anh															
	in																																															du	do	du	do	do	do	do	do	dolo	də	d	du	dụ	doː	du	duː	duː	du	duː	dụ																								
	in																																	dotor	dotor	d	dota:	doso:	dotor	hdoro	dorə	sudoro	tuduoro	tura	tuʃi																																														
	in	icindä	izchari	ižinde	ičinte	ičinde	ičäridä	esendä	əžɘnǰe	ičinde	iske	ičyanïnda	išinde	ičinde	ičke	ĭšĭnde	ɘstɘnde	ič	ičinde	ič		išinde	iči	ičinte	ištinde	ečtä	iˁštĭnde	ičinde	ičindä	ištinde	ičidä	ičida	ihiger																																																										
	hard																																																																														xohasari	kwaahaɴ	hupasaɴ	huπaaseɴ		kupaham	koosaaɴ	kooɴ					
	hard																																																																																										
	hard																																																																							kkangkkanghan																			
	hard																																																																								ttanttanhan	ttangttanghan																	
	hard																																															taktak																				ttakttakhan	ttunttunhan	ttakttakhan	ttakttakhan				ttakttakhan																
	hard																																																kiŋkə																																										
	hard																																																	maŋi							maŋga	maŋ	maŋ			maŋa		maŋapču	maňa																										
	hard																																																		koahkoahbiː	koakkoak	koahkoahbiː		kwaxkwaxbi																																				
	hard																																																			dəŋdəŋ							doŋter																																
	hard																																																					čakčaŋ																																					
	hard	ḳattï	chati	ḳadu:	ḳatïɣ	ḳatu		ḳatï	χïdə	ḳattï	kïta:nak		ḳattï	ḳatï	ḳatï	ḳattï	χatïɣ		ḳatu:	ḳattï	ḳa:dəɣ	ḳatï	χïtti	ḳatïɣ	ḳadïɣ	ḳatï	ḳaˁtïɣ	katï	ġatï	ḳadïɣ	ḳattiḳ	ḳattiḳ	kïta:naχ	xatu:	xatu:	xatu:	xatu:	xatu:	kato:	gadu	ħdɵŋ	qɯdun	katoŋ	xadɔŋ	χutuŋ												kataŋsəmə			hat						katan	katan	kwut								kwut	kata	kata					katasaɴ				khatan	kate	kataka	kataka	katakja
	hard						bärk																																																																																				
	hard											četin																																																																															
	hard																	muhkämbor																																																																									
	crush (v.)																																																																												hik		hikjuri	sɨkjuɴ	pikjuɴ	picuɴ		pifu	pïkuɴ	pikuɴ					
	crush (v.)																																																																													tuk									kkun	tsuɂ	tsuku	tsu̥ku	tsuku
	crush (v.)																																																																																		narasjuɴ								
	crush (v.)																																																																							kal	kal	kal		kol															
	crush (v.)																																																																						cepcilamcci																				
	crush (v.)																																																																			cca	cca	cca		cca	cca	cca	cca																
	crush (v.)																																															mosolo				mosola																																							
	crush (v.)																																																čikka	cika									čilka																																
	crush (v.)																																																		huʤirə						huʤurə	xuʤuru																																	
	crush (v.)																																																			neʤara	ńịdịra		ńiʤurču		niʤara																																		
	crush (v.)																																																				kəfuči																																						
	crush (v.)																																																					pəkpu																																					
